ADM0_NAME,ADM1_NAME,ADM2_CODE,ADM2_NAME,area_ee,losstotal,mask_hansen,lossyear,sum
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,4,5.9955398
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,5,15.4072592
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,6,9.5454727
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,7,4.8751546
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,8,5.4858695
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,9,5.8574
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,10,9.8251231
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,11,5.1545014
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,12,12.552277
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,13,9.1400463
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,14,9.8732780000000009
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,15,7.1224037
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,16,10.3659787
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,17,14.1952693
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,18,9.8160927
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,19,9.4532868
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,20,13.4960051
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,21,18.7131019
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,22,14.2698607
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,0,10466.1286712
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,1,19.883431
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,2,23.3782453
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,3,10.7828937
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,4,24.5333916
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,5,45.3262521
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,6,22.9834492
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,7,20.3757864
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,8,18.9462956
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,9,17.9033762
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,10,18.3207292
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,11,13.5038848
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,12,42.2283482
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,13,25.4605684
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,14,29.8932226
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,15,22.448082
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,16,36.4115683
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,17,38.7086569
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,18,38.2773066
Brazil,Amazonas,6494,Envira,11469.8728695,693.6464492,11159.7751205,19,45.0532895
